name,node_id,lat,lon
LAX Airport,12090694773,33.9423201,-118.419597
USC,9753026953,34.0236742,-118.2840701
Griffith Observatory,122817922,34.1155044,-118.2996619
Hollywood Sign,1037986107,34.129807,-118.3215355
Santa Monica Pier,122670476,33.9963265,-118.4814678
Dodger Stadium,9277622454,34.0701279,-118.2368397
Beverly Hills City Hall,1717893594,34.0735941,-118.3897349
The Getty Center,267072922,34.0754929,-118.476367
Caltech,1784445099,34.1257206,-118.1686664
The Grove,1728620143,34.0729701,-118.3590373
Koreatown Los Angeles,123138062,34.0617075,-118.3053555
Staples Center,277328790,34.0419132,-118.266878
Union Station Los Angeles,8869134196,34.0564393,-118.237437
Exposition Park,63068564,34.0183833,-118.3001782
Echo Park Lake,1930691844,34.0895703,-118.2694224
Westwood Village,26848243,34.0985922,-118.1554362
